VCD info: dumpfile tb_alu.vcd opened for output.
OP= 11 ,y_bad= 13 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= -116 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= 2 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= 37 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= 18 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= 13 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= 64 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= 40 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= 20 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= -80 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= 81 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= 18 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= 73 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= 34 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= -61 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= -107 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= -104 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= 48 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= 73 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= 4 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= 6 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= 24 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= 16 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= 92 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= 96 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= 1 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= 8 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= 8 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= 67 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= 6 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= -120 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= 52 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= 40 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= -128 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= 33 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= 16 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= 33 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= 73 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= 48 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= -128 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= 32 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= -100 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= 4 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= 4 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= 96 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= -112 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= 67 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= 68 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= 16 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= 41 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= -126 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= -59 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= -128 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= 4 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= -64 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= 6 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= 32 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= -96 , y_default= 0 , y_preasignacion= 0 
OP= 11 ,y_bad= -87 , y_default= 0 , y_preasignacion= 0 
PASS= 197, FAIL= 59
