cuadrante,angulo_deg,errR_cordic_ulp,errR_ref_ulp,errPhi_cordic_ulp,errPhi_ref_ulp
1,15.001,0,0,1,0
1,30.000,0,0,1,0
1,45.000,1,0,0,0
1,60.000,0,0,1,0
1,74.999,0,0,1,0
2,105.001,0,0,1,0
2,120.000,0,0,1,0
2,135.000,1,0,0,0
2,150.000,0,0,1,0
2,164.999,0,0,1,0
3,-105.001,0,0,1,0
3,-120.000,0,0,1,0
3,-135.000,1,0,0,0
3,-150.000,0,0,1,0
3,-164.999,0,0,1,0
4,-15.001,0,0,1,0
4,-30.000,0,0,1,0
4,-45.000,1,0,0,0
4,-60.000,0,0,1,0
4,-74.999,0,0,1,0
1,0.000,0,0,0,0
2,180.000,0,0,0,0
1,90.000,0,0,0,0
4,-90.000,0,0,0,0
1,89.701,0,0,1,0
2,90.299,2,0,1,0
4,-89.701,2,0,1,0
3,-90.299,0,0,1,0
1,11.482,1,1,1,0
1,46.040,1,0,1,0
1,10.034,1,0,1,0
1,53.891,2,0,1,0
1,69.936,1,0,0,0
1,65.287,1,0,1,0
1,67.091,1,0,1,0
1,22.115,0,0,1,0
1,10.745,1,0,0,0
1,40.570,1,0,3,0
1,61.295,1,1,1,0
1,19.501,1,0,1,0
1,87.233,1,0,0,0
1,71.853,1,0,0,0
1,46.192,1,1,3,0
1,30.956,3,0,0,0
1,26.708,2,0,1,0
1,78.129,1,0,1,1
1,51.816,0,1,2,0
1,63.556,0,1,1,0
1,38.154,0,1,1,0
1,52.543,1,0,1,0
1,11.246,1,0,0,0
1,67.014,0,0,2,0
1,44.210,0,0,2,0
1,23.761,1,0,1,0
1,82.508,0,1,0,0
1,46.581,2,1,2,0
1,20.755,1,0,1,0
1,5.302,2,0,1,0
1,79.042,1,0,1,0
1,55.764,0,0,0,0
1,43.427,0,0,1,0
1,78.960,0,1,1,0
1,41.199,0,1,2,0
1,82.793,2,1,0,0
1,49.017,1,1,2,0
1,59.938,2,1,0,0
1,71.383,0,0,1,0
1,43.142,1,0,1,0
1,39.110,1,0,2,0
1,24.676,2,0,0,0
1,58.695,0,0,1,0
1,41.325,2,0,1,0
1,44.077,1,0,2,0
1,23.890,2,0,1,0
1,45.991,0,0,0,0
1,72.100,1,0,1,0
1,80.840,1,0,0,0
1,28.866,2,0,1,0
1,9.656,0,0,1,0
1,70.088,3,0,2,0
1,40.857,1,0,1,0
1,86.119,2,1,1,0
1,43.162,1,1,1,0
1,24.448,0,0,1,0
1,9.507,0,0,1,0
1,37.197,1,0,2,0
1,2.237,1,1,2,0
1,52.096,1,1,0,0
1,8.311,2,1,0,0
1,22.810,2,1,0,0
1,67.164,2,0,1,0
1,59.827,3,0,2,0
1,14.618,1,0,1,0
1,52.311,0,0,1,1
1,84.596,1,0,0,0
1,64.398,0,0,2,0
1,20.619,2,1,1,0
